Texts,howl,,Texts,juggle,,,,,,
bark,0.24,,bake,0.04,,,,,,
,,,,,,,,,,
Texts,pray,,Texts,beg,,,,,,
beg,0.36,,bark,0.07,,,,,,
,,,,,,,,,,
Texts,bake,,Texts,sneeze,,,,,,
cook,0.37,,beg,0.09,,,,,,
,,,,,,,,,,
Texts,sneeze,,Texts,dance,,,,,,
cough,0.52,,cook,0.1,,,,,,
,,,,,,,,,,
Texts,laugh,,Texts,whistle,,,,,,
cry,0.5,,cough,0.1,,,,,,
,,,,,,,,,,
Texts,juggle,,Texts,run,,,,,,
dance,0.37,,cry,0.26,,,,,,
,,,,,,,,,,
Texts,swim,,Texts,bark,,,,,,
dive,0.64,,dance,0.15,,,,,,
,,,,,,,,,,
Texts,read,,Texts,sleep,,,,,,
write,0.47,,dive,0.16,,,,,,
,,,,,,,,,,
Texts,walk,,Texts,write,,,,,,
run,0.39,,howl,0.05,,,,,,
,,,,,,,,,,
Texts,whistle,,Texts,pray,,,,,,
sing,0.32,,juggle,0.03,,,,,,
,,,,,,,,,,
Texts,sleep,,Texts,laugh,,,,,,
yawn,0.49,,yawn,0.3,,,,,,
,,,,,,,,,,
Texts,whisper,,Texts,pray,,,,,,
yell,0.39,,howl,0.1,,,,,,
,,,,,,,,,,
Texts,howl,,Texts,dive,,,,,,
bark,0.24,,read,0.07,,,,,,
,,,,,,,,,,
Texts,pray,,Texts,sing,,,,,,
beg,0.36,,run,0.13,,,,,,
,,,,,,,,,,
Texts,bake,,Texts,read,,,,,,
cook,0.37,,sing,0.12,,,,,,
,,,,,,,,,,
Texts,sneeze,,Texts,yell,,,,,,
cough,0.52,,sleep,0.15,,,,,,
,,,,,,,,,,
Texts,laugh,,Texts,sneeze,,,,,,
cry,0.5,,cry,0.16,,,,,,
,,,,,,,,,,
Texts,juggle,,Texts,swim,,,,,,
dance,0.37,,whisper,0.1,,,,,,
,,,,,,,,,,
Texts,swim,,Texts,walk,,,,,,
dive,0.64,,cook,0.14,,,,,,
,,,,,,,,,,
Texts,read,,Texts,whisper,,,,,,
write,0.47,,bake,0.02,,,,,,
,,,,,,,,,,
Texts,walk,,Texts,whistle,,,,,,
run,0.39,,cough,0.1,,,,,,
,,,,,,,,,,
Texts,whistle,,Texts,laugh,,,,,,
sing,0.32,,write,0.1,,,,,,
,,,,,,,,,,
Texts,sleep,,Texts,swim,,,,,,
yawn,0.49,,yawn,0.09,,,,,,
,,,,,,,,,,
Texts,whisper,,Texts,yell,,,,,,
yell,0.39,,walk,0.35,,,0.421666667,0.124166667,,
,,,,,,,0.104243305,0.080375027,1.45E-14,-10.75608349
,,,,,,,,,,-10.84558203
