Relatedness,DistractorType,DistractorSentenceVersionA,DistractorSentenceVersionB,DistractorWord,Picture,cosine_lsa
Related,Noun,The man is surprised by his daughter's efficient cooking. ,The boy is surprised by his father's efficient cooking.,cook,bake,0.37
Related,Verb,The boy is surprised that his father is efficiently cooking.,The man is surprised that his daughter is efficiently cooking. ,cook,bake,0.37
Unrelated,Noun,The girl told me about Mary's skillful juggling.,He told me about the girl's skillful juggling.,juggle,bake,0.04
Unrelated,Verb,He told me that the girl was skillfully juggling.,The girl told me that Mary was skillfully juggling.,juggle,bake,0.04
Related,Noun,The boy complained about the dog's loud howling.,The woman complained about the dog's loud howling.,howl,bark,0.24
Related,Verb,The woman complained that the dog is loudly howling.,The boy complained that the dog is loudly howling.,howl,bark,0.24
Unrelated,Noun,She didn't notice the man's desperate begging.,John didn't notice the girl's desperate begging.,beg,bark,0.07
Unrelated,Verb,John didn't notice that the girl was desperately begging.,She didn't notice the man was desperately begging.,beg,bark,0.07
Related,Noun,John told me about the boy's sincere praying. ,Mary told me about John's sincere praying.,pray,beg,0.36
Related,Verb,Mary told me that John was sincerely praying.,John told me that the boy was sincerely praying. ,pray,beg,0.36
Unrelated,Noun,Mary noticed John's repeated sneezing.,John noticed the boy's repeated sneezing.,sneeze,beg,0.09
Unrelated,Verb,John noticed the boy was repeatedly sneezing.,Mary noticed that John was repeatedly sneezing.,sneeze,beg,0.09
Related,Noun,The boy is surprised by his father's efficient baking of cakes.,The man is surprised by his daughter's efficient baking of cakes.,bake,cook,0.37
Related,Verb,The man is surprised that his daughter is efficiently baking cakes.,The boy is surprised that his father is efficiently baking cakes.,bake,cook,0.37
Unrelated,Noun,The boy is impressed by the woman's beautiful dancing.,John is impressed by the woman's beautiful dancing.,dance,cook,0.1
Unrelated,Verb,John is impressed that the woman is beautifully dancing.,The boy is impressed that the woman is beautifully dancing.,dance,cook,0.1
Related,Noun,Mary noticed John's repeated sneezing.,John noticed the boy's repeated sneezing.,sneeze,cough,0.52
