item_number,picture,eSubject,eObject,mSubject,prime_type,extraction_type,distractor,whichCue,secondSentence,condition,cue2,cue1,list,relatedness,firstSentence,neworder,key_resp_5.rt,key_resp_6.rt,key_resp_3.rt,key_resp_2.rt,expName,participant,transcription,usable,errortype,comp,prime_comp,prime_transcription,prime_accuracy,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Vcodability,Vagr
9,kick,gymnast,boxer,sailor,filler,filler,eat,The typist thinks that...,Who does the counselor think that the student fell in love with?,filler,None,None,filler_that,filler,The typist thinks that the dentist is speaking too fast,1,5.941552162,4.456870794,6.892806053,9.128569841,List1,S1,who thinks that the gymnast is kicking the boxer,NA,,1,1,,,3376,279.3,498.9,299.3,199.6,947.8,149.7,828.1,89.8,2963.2,0,NA,NA
12,pull,waitress,cowboy,ballerina,filler,filler,choose,Who does the philanthropist think...,Who does the philanthropist think the orphan want?,filler,None,None,filler_null,filler,What does the salesperson think the customer is complaining about?,2,5.858242035,6.158925056,5.925273895,10.81381416,List1,S1,repair,NA,,1,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,lick,pirate,doctor,clown,null,obj,photograph,Who does the boy think...,Who does the boy think his sister is trying to impress?,obj_null_unrelated,boy,archeologist,1,unrelated,What does the archeologist think the professor will analyze?,3,5.841590881,4.840528011,5.074247122,5.858244896,List1,S1,who does the clown think the pirate is licking,NA,,0,0,,,2408.2,159.6,309.3,69.8,648.6,468.9,59.9,399.1,169.6,1676.2,0,1.832604167,-0.290446429
6,tickle,boxer,pirate,ballerina,that,obj,lift,What does the critic think that...,Who does the engineer think that his manager blames? ,obj_that_unrelated,engineer,critic,1,unrelated,What does the critic think that this novel is lacking?,4,4.473459959,5.741590023,8.962149143,6.509045124,List1,S1,who does the ballerina think the boxer is tickling,NA,,0,1,,,1979.1,219.5,199.6,69.8,618.6,758.3,768.3,618.5,1786,0,0,0.182604167,-0.130446429
25,poke,doctor,artist,cowboy,filler,filler,slip,Who does the reporter think that...,Who does the reporter think that the activists hate?,filler,None,None,filler_that,filler,What does the fisherman think that the dolphin just ate?,5,6.292249918,4.989792824,7.426555157,5.557967901,List1,S1,who thinks the doctor is poking the artist,NA,,0,1,,,1769.6,209.5,638.6,109.7,698.5,179.5,479,59.8,1925.6,0,NA,NA,NA
14,catch,burglar,sailor,pirate,null,subj,rob,The drummer thinks...,The drummer thinks the leader singer will say something.,subj_null_related,florist,drummer,1,related,Who does the florist think the man will propose to?,6,5.557973862,6.091851234,4.523420095,7.059761047,List1,S1,who does the pirate think is catching the sailor,NA,,0,0,,,1979.1,169.7,229.4,89.8,748.3,618.6,1117.5,718.3,109.8,1785.9,0,0.182604167,-0.530446429
3,push,ballerina,artist,chef,null,obj,kiss,The therapist thinks...,The voice actor thinks the villain should sound like a witch.,obj_null_unrelated,voice actor,therapist,1,unrelated,The therapist thinks the client should eat something.,7,6.074805975,5.774789095,6.492305994,8.860990047,List1,S1,repair,NA,,0,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.757395833,0.229553571
1,spray,pirate,gymnast,monk,that,obj,wash,Who does the woman think that...,The thief thinks that the resident put something expensive in the safe.,obj_that_related,woman,thief,1,related,Who does the woman think that the conman is fooling?,8,6.60918498,5.257640123,7.910612106,5.607960939,List1,S1,who does the monk think the pirate is spraying,NA,,0,1,,,1649.9,269.4,229.5,69.8,748.3,389.1,119.7,419.1,99.8,2125.1,NA,-0.757395833,0.309553571
16,catch,burglar,sailor,pirate,filler,filler,chop,The hair stylist thinks...,What does the driver think the passenger is demanding?,filler,None,None,filler_null,filler,The hair stylist thinks the customer likes her new hair style.,9,7.426796198,5.758434057,6.192126989,5.891747952,List1,S1,who thinks the burglar is catching the sailor,NA,,0,0,,,2258.5,189.6,389.1,79.8,558.7,159.7,728.3,89.8,1945.6,0,0,NA,NA
7,pat,ballerina,sailor,boxer,that,subj,catch,What does the wedding planner think that...,Who does the writer think that the readers will want to die off in her next novel?,subj_that_unrelated,writer,wedding,1,unrelated,What does the wedding planner think that the bride wants the wedding invitations to look like?,10,8.110697985,6.542522907,9.176369905,8.210668087,List1,S1,who does the boxer think is patting the sailor,NA,,0,0,,,2248.5,598.7,289.3,79.8,1696.2,947.8,269.4,389.1,69.9,2125.1,0,1.452604167,-0.130446429
