"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.95097835563185,0.0193198280907037,188.872034297787,359.784689749726,0
"Region1",-0.569323024559208,0.00677907619050757,22381.5595311545,-83.9823906030743,0
"Relatedness1",-0.0164441971510517,0.00632470696027566,23256.5410018129,-2.59999352607713,0.00932844464397387
"DistractorType1",-0.0112881321458949,0.00632519140795309,23254.5648312081,-1.78463091752473,0.0743342351307565
"soap300",-0.0514298639956916,0.0229042037097142,140.383622758785,-2.24543339936673,0.026303143730565
"soapn0",-0.0253209955036761,0.0231741102914792,140.875990526161,-1.09264153769848,0.276416198397557
"VerbType1",-0.0192641749480756,0.0201758676658613,48.5962959778511,-0.954812713243143,0.344398095015001
"Vcodability",0.01943643991007,0.0108981626872812,43.1667351519985,1.78346024626275,0.0815432381619734
"Region1:Relatedness1",-0.00917677841972458,0.012649402412414,23286.4151759214,-0.725471300582434,0.468170235634931
"Region1:DistractorType1",-0.0139286525347588,0.0126468499401896,23278.4699251841,-1.10135350704967,0.27075421948548
"Relatedness1:DistractorType1",0.0258011436961575,0.0126499410731628,23251.7451075428,2.03962560354493,0.0413989095152432
"Region1:soap300",0.0365751975933905,0.00941918715540416,20780.2840388971,3.88305243222669,0.000103472420458495
"Region1:soapn0",-0.039079587572937,0.00960119124077808,20519.7107386509,-4.07028530032384,4.71314284564706e-05
"Relatedness1:soap300",-0.00122337344293626,0.008837068876148,23253.2377238557,-0.138436563082387,0.88989660078412
"Relatedness1:soapn0",-0.000828519025349429,0.00899278622888106,23255.9981513128,-0.092131515668478,0.926594342605499
"DistractorType1:soap300",-0.00252290514649405,0.00883959590835682,23254.142465223,-0.285409556347359,0.775332928930557
"DistractorType1:soapn0",-0.00382378793146894,0.00899578031657402,23258.5336415215,-0.425064618844005,0.670793501613114
"Region1:VerbType1",0.0182594606427601,0.0132010733373897,14499.9030598574,1.3831800018142,0.166630976696631
"Relatedness1:VerbType1",0.0131626190053266,0.0126501531668243,23257.3464970274,1.04051064297358,0.298113538406145
"DistractorType1:VerbType1",0.00829590338867767,0.0126491014967251,23256.5263311172,0.655849223031812,0.511927629757547
"soap300:VerbType1",0.000868355446329121,0.00893908941738901,11727.6804667849,0.0971413760153164,0.92261578286944
"soapn0:VerbType1",0.00418471253957261,0.00911911145307402,11406.855904257,0.458894768542604,0.646318479285046
"Region1:Vcodability",0.0597299103599671,0.00530021557652783,184.520781721715,11.2693360293651,0
"Region1:Relatedness1:DistractorType1",0.0574403293328792,0.0252948735491465,23274.8541895953,2.27082887847911,0.0231664338125328
"Region1:Relatedness1:soap300",-0.0233628184505313,0.0176717354169029,23275.1883570653,-1.32204437761018,0.186166366123463
"Region1:Relatedness1:soapn0",-0.00425229765301506,0.0179857165507541,23284.2217095171,-0.236426368725174,0.813103916481679
"Region1:DistractorType1:soap300",0.0223805430707658,0.0176733388207837,23281.0897132717,1.26634493333238,0.205402286623637
"Region1:DistractorType1:soapn0",0.0345575295640852,0.0179858639983185,23289.337798239,1.9213716709587,0.0546970581510848
"Relatedness1:DistractorType1:soap300",0.000738717287201255,0.0176741803180789,23251.6460214734,0.0417964100120459,0.966661355783042
"Relatedness1:DistractorType1:soapn0",-0.00514826310768428,0.0179865066984057,23254.2721770569,-0.286229182464909,0.77470514368967
"Region1:Relatedness1:VerbType1",-0.0686803135085209,0.0252972941273731,23287.3903648764,-2.7149272630785,0.00663391713744854
"Region1:DistractorType1:VerbType1",-0.0548360689807867,0.0252945110140196,23279.5468759979,-2.16790389624032,0.030176098242841
"Relatedness1:DistractorType1:VerbType1",0.0153847001942447,0.0253009668641618,23256.8740446317,0.60806767886949,0.543148525545211
"Region1:soap300:VerbType1",0.0108907349348478,0.0180880085331088,9279.89882105574,0.602096959149098,0.547124308736644
"Region1:soapn0:VerbType1",0.0105513570597195,0.0184099571654131,9023.14884623829,0.57313316728093,0.566568813849885
"Relatedness1:soap300:VerbType1",-0.0171099852697467,0.0176736059390167,23254.5324373239,-0.968109469498485,0.33299976940635
"Relatedness1:soapn0:VerbType1",-0.00963676073366842,0.0179861006002605,23256.8461612242,-0.535789326872154,0.592109283166138
"DistractorType1:soap300:VerbType1",-0.0117833467103857,0.0176744725666738,23256.6826913948,-0.666687317878096,0.504978494905729
"DistractorType1:soapn0:VerbType1",-4.49537475729225e-05,0.0179869658971596,23258.6814469944,-0.00249924016256801,0.998005918370416
"RegionOnsetThe:VerbType1:Vcodability",0.0422948785980399,0.0235524681478454,58.1023857001555,1.79577266945202,0.0777309360203997
"RegionAI:VerbType1:Vcodability",0.0571274287289187,0.0238342497595411,60.7170932587756,2.39686288871123,0.0196300231128483
"Region1:Relatedness1:DistractorType1:soap300",-0.0467553810098544,0.0353453519179681,23275.1414524022,-1.32281554639398,0.185909722134594
"Region1:Relatedness1:DistractorType1:soapn0",-0.00376096954330885,0.035971362756907,23281.064270675,-0.104554547146999,0.916730183737325
"Region1:Relatedness1:DistractorType1:VerbType1",-0.00122766348555598,0.0505821280484508,23278.6340261216,-0.0242706966456621,0.98063689496445
"Region1:Relatedness1:soap300:VerbType1",0.0924843360710057,0.0353403986714392,23276.7320888724,2.61695791637314,0.00887746204363848
