"","Relatedness","VerbType","Pic","Picture","PictureVersion","Distractor","DistractorType","Verb","Anoun","Snoun","Order","expName","participant","Transcription","Utterance","Vcodability","Vagr","Vfreq","Aagreement","Acodability","Afreq","Sfreq","Scodability","Onset","The","dog","above","the","apple","is","soa","syllable","visual_complexity","unaccusativity","OnsetThe","experiment"
"1","Unrelated","Unacc","boyUnacc.jpeg","boyUnacc.jpeg.desk","A","shrink","Verb","float","desk","boy",1,"List1",1,"{SL} The boy below the desk is floating","",1.718,0.7,5704,1,0,4.522,42823,1.733,1918.6,109.7,1047.7,239.4,808.2,688.4,169.6,"n150","short",17761,0.92,2028.3,"Exp1"
"2","Related","Unacc","rabbitUnacc.jpeg","rabbitUnacc.jpeg.church","","bounce","Verb","shake","church","rabbit",2,"List1",1,"{SL} The rabbit above the church is shaking","",2.711,0.54,5292,0.96,0.282,5.215,5751,1.086,1050.6,119.7,658.5,658.5,109.8,518.8,179.6,"n150","short",34595,0.8,1170.3,"Exp1"
"3","Related","Unerg","clownUnerg.jpeg","clownUnerg.jpeg.canon","A","gun","Noun","walk","canon","clown",3,"List1",1,"{SL} The clown below the canon is walking","",2.218,0.58,33093,1,0.111,1.946,2761,1.896,1090.5,129.7,588.6,957.9,99.7,578.7,189.6,"n150","long",17678,0.24,1220.2,"Exp1"
"4","Unrelated","Unacc","penguineUnacc.jpeg","penguineUnacc.jpeg.drill","","sword","Noun","bounce","drill","penguin",4,"List1",1,"{SL} The penguin below the drill is bouncing","",1.645,0.54,4243,0.63,1.704,2.197,2222,0.303,1130.4,59.8,608.7,618.6,149.6,498.9,199.5,"n150","short",16254,0.56,1190.2,"Exp1"
"5","Related","Unacc","ballerinaUnacc.jpeg","ballerinaUnacc.jpeg.ax","A","grow","Verb","shrink","ax","ballerina",5,"List1",1,"{SL} The ballerina above the ax is shrinking","",1.56,0.76,4085,0.86,0.668,2.303,140,1.937,1060.5,728.4,678.4,598.7,129.7,439,229.5,"n150","short",7849,0.92,1788.9,"Exp1"
"6","Related","Unerg","chefUnerg.jpeg","chefUnerg.jpeg.windmill","B","bark","Verb","yell","windmill","chef",6,"List1",1,"{SL} The chef above the windmill is yelling","barking",0.961,0.78,3322,0.93,0.55,2.303,1418,1.194,NA,NA,NA,NA,NA,NA,NA,"n150","long",12430,0.06,NA,"Exp1"
"7","Related","Unacc","dogUnacc.jpeg","dogUnacc.jpeg.hammer","B","drill","Noun","spin","hammer","dog",7,"List1",1,"{SL} The dog above the hammer is spinning","",3.022,0.12,10683,1,0.057,2.485,58314,0.995,1629.3,1217.2,379.1,429,119.8,548.7,149.7,"n150","long",9533,0.9,2846.5,"Exp1"
"8","Unrelated","Unerg","rabitUnerg.jpeg","rabitUnerg.jpeg.chair","","windmill","Noun","smile","chair","rabbit",8,"List1",1,"{SL} The rabbit above the chair is smiling","",2.748,0.46,12276,1,0,4.92,5751,1.061,1120.4,119.7,588.7,508.8,209.6,897.9,179.6,"n150","short",11238,0.11,1240.1,"Exp1"
"9","Unrelated","Unerg","dogUnerg.jpeg","dogUnerg.jpeg.apple","A","yawn","Verb","bark","apple","dog",9,"List1",1,"{SL} The dog above the apple is barking","",0.987,0.7,2441,1,0.029,3.434,58314,0.629,1070.5,319.3,119.7,429,69.9,538.8,199.5,"n150","long",8241,0,1389.8,"Exp1"
"10","Related","Unerg","penguineUnerg.jpeg","penguineUnerg.jpeg.tomato","","cough","Verb","sneeze","tomato","penguin",10,"List1",1,"{SL} The penguin below the tomato is sneezing","",1.088,0.78,540,0.98,0.141,2.708,2222,0.689,1379.8,59.9,419,369.2,159.6,618.6,129.7,"n150","long",8388,0.04,1439.7,"Exp1"
"11","Related","Unacc","monkeyUnacc.jpeg","monkeyUnacc.jpeg.carrot","A","spin","Verb","trip","carrot","monkey",11,"List1",1,"{SL} The monkey above the carrot is tripping","",3.082,0.36,28399,1,0,2.197,4882,0.815,1070.5,129.7,568.7,459,119.7,628.6,189.6,"n150","long",13201,0.59,1200.2,"Exp1"
"12","Unrelated","Unacc","cowboyUnacc.jpeg","cowboyUnacc.jpeg.sword","B","drill","Noun","fall","sword","cowboy",12,"List1",1,"{SL} The cowboy above the sword is falling","",1.114,0.84,46059,0.92,0.522,2.89,2826,0.885,1329.9,79.9,628.5,598.7,89.8,468.9,229.5,"n150","short",10243,0.98,1409.8,"Exp1"
"13","Unrelated","Unacc","clownUnacc.jpeg","clownUnacc.jpeg.violin","B","shake","Verb","grow","violin","clown",13,"List1",1,"{SL} The clown below the violin is growing","",1.786,0.7,24803,0.82,0.858,1.946,2761,0.179,1100.5,139.6,618.6,788.2,568.7,658.5,269.4,"n150","long",8571,1,1240.1,"Exp1"
"14","Unrelated","Unerg","pirateUnerg.jpeg","pirateUnerg.jpeg.gun","","walk","Verb","cough","gun","pirate",14,"List1",1,"{SL} The pirate below the gun is coughing","",0.987,0.7,2215,0.9,0.687,4.605,6292,0.69,1679.1,239.5,947.8,898,169.6,967.8,628.6,"n150","short",10904,0,1918.6,"Exp1"
"15","Related","Unerg","octopusUnerg.jpeg","octopusUnerg.jpeg.lemon","","apple","Noun","swim","lemon","octopus",15,"List1",1,"{SL} The octopus below the lemon is swimming","",1.574,0.74,5116,0.96,0.31,2.773,900,0.48,1489.6,738.3,768.2,528.8,69.9,518.8,159.6,"n150","long",8524,0.11,2227.9,"Exp1"
