,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,X,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
1,desk,Unacc,boyUnacc.jpeg,shrink,float,Vunrel,boy,1,1,funiture,List1,101,{SL} The boy below the desk is floating,,1030.6,99.8,249.4,279.4,79.8,419,209.6,NA,0,Unrelated,Verb,1130.4,608.6,628.6,1237.2,1,0,4.522,short,17761,5704,0.7,1.718,42823,1.733,0.92
2,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Vrel,rabbit,2,1,building,List1,101,{SL} The rabbit above the church is shaking,,1080.5,69.8,319.3,209.5,69.9,439,139.7,NA,0,Related,Verb,1150.3,598.7,578.7,1177.4,0.96,0.282,5.215,short,34595,5292,0.54,2.711,5751,1.086,0.8
3,cannon,Unerg,clownUnerg.jpeg,gun,walk,Nrel,clown,3,1,weapon,List1,101,{SL} The clown below the canon is walking,,1080.5,59.9,319.2,239.5,79.8,628.6,149.6,NA,0,Related,Noun,1140.4,638.5,778.2,1416.7,1,0.111,1.946,long,17678,33093,0.58,2.218,2761,1.896,0.24
4,drill,Unacc,penguineUnacc.jpeg,sword,bounce,Nunrel,penguine,4,1,tool,List1,101,{SL} The penguin below the drill is bouncing,,1000.7,59.8,439,279.4,99.8,419,209.5,NA,0,Unrelated,Noun,1060.5,818.2,628.5,1446.7,0.63,1.704,2.197,short,16254,4243,0.54,1.736,2222,0.303,0.56
5,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Vrel,ballerina,5,1,weapon,List1,101,{SL} The ballerina above the ax is shrinking,,1240.1,69.9,458.9,239.5,119.7,389.1,159.7,NA,0,Related,Verb,1310,818.1,548.8,1366.9,0.86,0.668,2.303,short,7849,4085,0.76,1.56,140,1.937,0.92
6,windmill,Unerg,chefUnerg.jpeg,bark,yell,Vrel,chef,6,1,building,List1,101,{SL} The chef above the windmill is yelling,,1020.6,89.8,309.3,219.5,59.9,818.2,59.8,NA,0,Related,Verb,1110.4,588.7,878,1466.7,0.93,0.55,2.303,long,12430,3322,0.78,0.961,1418,1.194,0.06
7,hammer,Unacc,dogUnacc.jpeg,drill,spin,Nrel,dog,7,1,tool,List1,101,{SL} The dog above the hammer is spinning,,960.8,59.8,269.4,219.5,59.9,399.1,89.8,NA,0,Related,Noun,1020.6,548.8,488.9,1037.7,1,0.057,2.485,long,9533,10683,0.12,3.022,58314,0.995,0.9
8,chair,Unerg,rabitUnerg.jpeg,windmill,smile,Nunrel,rabit,8,1,funiture,List1,101,{SL} The rabbit above the chair is smiling,,1000.7,59.8,249.5,199.5,69.9,578.6,189.6,NA,0,Unrelated,Noun,1060.5,518.9,768.2,1287.1,1,0,4.92,short,11238,12276,0.46,2.955,5751,1.061,0.11
9,apple,Unerg,dogUnerg.jpeg,yawn,bark,Vunrel,dog,9,1,fruit,List1,101,{SL} The dog above the apple is barking,,910.9,59.8,249.5,219.5,119.7,279.4,139.7,NA,0,Unrelated,Verb,970.7,588.7,419.1,1007.8,1,0.029,3.434,long,8241,2441,0.7,0.987,58314,0.629,0
10,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Vrel,penguine,10,1,fruit,List1,101,{SL} The penguin below the tomato is sneezing,,1200.2,89.8,379.2,229.4,59.9,538.8,189.5,NA,0,Related,Verb,1290,668.5,728.3,1396.8,0.98,0.141,2.708,long,8388,540,0.78,1.088,2222,0.689,0.04
11,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Vrel,monkey,11,1,fruit,List1,101,{SL} The monkey above the carrot is tripping,,930.8,79.9,279.3,239.5,59.8,469,119.7,NA,0,Related,Verb,1010.7,578.6,588.7,1167.3,1,0,2.197,long,13201,28399,0.36,3.082,4882,0.815,0.59
12,sword,Unacc,cowboyUnacc.jpeg,drill,fall,Nunrel,cowboy,12,1,weapon,List1,101,{SL} The cowboy above the sword is falling,,1559.4,89.8,369.2,249.4,59.9,349.2,119.7,NA,0,Unrelated,Noun,1649.2,678.5,468.9,1147.4,0.92,0.522,2.89,short,10243,46059,0.84,1.114,2826,0.885,0.98
13,violin,Unacc,clownUnacc.jpeg,shake,grow,Vunrel,clown,13,1,instrument,List1,101,{SL} The clown below the violin is growing,,1070.5,89.8,309.3,269.4,59.9,478.9,149.6,NA,0,Unrelated,Verb,1160.3,638.6,628.5,1267.1,0.82,0.858,1.946,long,8571,24803,0.7,1.918,2761,0.179,1
14,gun,Unerg,pirateUnerg.jpeg,walk,cough,Vunrel,pirate,14,1,weapon,List1,101,{SL} The pirate below the gun is coughing,,1649.2,89.8,369.2,209.5,69.8,329.3,169.6,NA,0,Unrelated,Verb,1739,648.5,498.9,1147.4,0.9,0.687,4.605,short,10904,2215,0.7,0.987,6292,0.69,0
15,lemon,Unerg,octopusUnerg.jpeg,apple,swim,Nrel,octopus,15,1,fruit,List1,101,{SL} The octopus below the lemon is swimming,the oct_,NA,NA,NA,NA,NA,NA,NA,NA,0,Related,Noun,NA,NA,NA,NA,0.96,0.31,2.773,long,8524,5116,0.74,1.574,900,0.48,0.11
16,table,Unerg,snailUnerg.jpeg,wink,crawl,Vunrel,snail,16,1,funiture,List1,101,{SL} The snail below the table is crawling,,960.8,89.8,359.2,249.4,79.8,608.7,109.7,NA,0,Unrelated,Verb,1050.6,688.4,718.4,1406.8,0.98,0.141,5.464,long,12010,3131,0.14,3.728,10191,0,0.74
17,lighthouse,Unerg,boyUnerg.jpeg,windmill,yawn,Nrel,boy,17,1,building,List1,101,{SL} The boy below the lighthouse is yawning,,980.7,79.8,219.5,249.5,69.8,947.9,279.4,NA,0,Related,Noun,1060.5,538.8,1227.3,1766.1,0.94,0.409,1.386,long,31692,1333,0.82,0.771,42823,1.896,0.18
18,spoon,Unacc,octopusUnacc.jpeg,fall,boil,Vunrel,octopus,18,1,tool,List1,101,{SL} The octopus below the spoon is boiling,,1050.6,119.7,449,269.4,59.8,508.8,109.8,NA,0,Unrelated,Verb,1170.3,778.2,618.6,1396.8,1,0.029,2.773,short,7344,3837,0.5,2.319,900,0.656,0.96
19,piano,Unerg,cowboyUnerg.jpeg,smile,wink,Vrel,cowboy,19,1,instrument,List1,101,{SL} The cowboy above the piano is winking,,861,79.8,279.4,339.2,69.9,658.4,109.8,NA,0,Related,Verb,940.8,688.5,768.2,1456.7,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
20,castle,Unacc,snailUnacc.jpeg,church,melt,Nrel,snail,20,1,building,List1,101,{SL} The snail below the castle is melting,,1120.4,449,359.2,299.3,109.7,538.8,209.5,NA,0,Related,Noun,1569.4,768.2,748.3,1516.5,1,0,3.332,long,22746,2781,0.16,3.886,10191,0,0.58
21,guitar,Unacc,pirateUnacc.jpeg,piano,sink,Nrel,pirate,21,1,instrument,List1,101,{SL} The pirate below the guitar is sinking,,1280,59.9,289.4,309.2,99.8,528.8,79.8,NA,0,Related,Noun,1339.9,698.4,608.6,1307,0.98,0.141,2.079,long,12032,8579,0.72,1.649,6292,0.592,0.92
22,harp,Unerg,ballerinaUnerg.jpeg,church,run,Nunrel,ballerina,22,1,instrument,List1,101,{SL} The ballerina above the harp is running,,1010.7,69.8,449,249.4,69.9,419,79.8,NA,0,Unrelated,Noun,1080.5,768.3,498.8,1267.1,0.96,0.388,1.386,short,14170,223338,0.84,1.034,140,1.707,0.04
23,knife,Unerg,monkeyUnerg.jpeg,castle,sleep,Nunrel,monkey,23,1,tool,List1,101,{SL} The monkey above the knife is sleeping,,960.8,59.8,279.4,219.5,69.8,379.2,89.8,NA,0,Unrelated,Noun,1020.6,568.7,469,1037.7,1,0.057,3.807,long,8773,25606,0.9,0.606,4882,0.357,0
