,Noun,VerbType,Pic,Distractor,Verb,Condition,Subj,Order,Block,Ncategory,expName,participant,Transcription,Utterance,Onset,The,dog,above,the,apple,is,soa,Relatedness,DistractorType,OnsetThe,DAT,AI,Duration,agreement,codability,freq,syllable,visual_complexity,Vfreq,Vagr,Vcodability,SFreq,SCodability,unaccusativity
1681,piano,Unerg,cowboyUnerg.jpeg,carrot,wink,Nunrel,cowboy,49,4,instrument,List2,218,{SL} The cowboy above the piano is winking,,766.1,141,334.1,417.02,117.9,391.9,149.7,p300,Unrelated,Noun,907.1,869.02,541.6,1845.8,1,0.029,3.332,long,19570,1494,0.64,1.628,2826,0.35,0.24
3935,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Vunrel,monkey,94,2,fruit,List7,270,{SL} The monkey above the knife is tripping,,422,79.8,498.9,249.4,99.8,568.7,299.3,p300,Unrelated,Verb,501.8,848.1,868,1716.1,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
4223,carrot,Unacc,monkeyUnacc.jpeg,melt,trip,Vunrel,monkey,94,2,fruit,List7,273,{SL} The monkey above the knife is tripping,,451.9,79.8,498.9,249.4,99.8,568.7,299.3,p300,Unrelated,Verb,531.7,848.1,868,1716.1,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
3909,castle,Unacc,snailUnacc.jpeg,dresser,melt,Nrel,snail,68,1,building,List7,270,{SL} The snail below the table is melting,,432,109.7,578.7,269.4,89.8,558.7,219.5,p300,Related,Noun,541.7,937.9,778.2,1716.1,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
3887,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,46,4,funiture,List7,270,{SL} The snail below the castle is crawling,,432,119.7,588.7,249.4,69.8,788.2,169.7,p300,Related,Verb,551.7,907.9,957.9,1865.8,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
3924,lemon,Unerg,octopusUnerg.jpeg,ax,swim,Nunrel,octopus,83,2,fruit,List7,270,{SL} The octopus below the spoon is swimming,,432,129.7,598.6,239.5,89.8,578.7,189.5,p300,Unrelated,Noun,561.7,927.9,768.2,1696.1,1,0.029,2.773,short,7344,5116,0.74,1.574,900,0.48,0.11
4197,castle,Unacc,snailUnacc.jpeg,dresser,melt,Nrel,snail,68,1,building,List7,273,{SL} The snail below the table is melting,,451.9,109.8,568.7,279.4,89.7,558.8,209.5,p300,Related,Noun,561.7,937.8,768.3,1706.1,0.98,0.141,5.464,long,12010,2781,0.16,3.886,10191,0,0.58
3900,carrot,Unacc,monkeyUnacc.jpeg,spin,trip,Vrel,monkey,59,1,fruit,List7,270,{SL} The monkey above the knife is tripping,,461.9,99.8,558.7,269.4,69.8,648.6,259.4,p300,Related,Verb,561.7,897.9,908,1805.9,1,0.057,3.807,long,8773,28399,0.36,3.082,4882,0.815,0.59
4175,table,Unerg,snailUnerg.jpeg,walk,crawl,Vrel,snail,46,4,funiture,List7,273,{SL} The snail below the castle is crawling,,501.8,59.9,578.7,259.4,69.8,788.2,159.7,p300,Related,Verb,561.7,907.9,947.9,1855.8,1,0,3.332,long,22746,3131,0.14,3.728,10191,0,0.74
3874,hammer,Unacc,dogUnacc.jpeg,sink,spin,Vunrel,dog,33,4,tool,List7,270,{SL} The dog above the apple is spinning,,491.8,79.9,458.9,299.3,219.5,419.1,129.7,p300,Unrelated,Verb,571.7,977.7,548.8,1526.5,1,0.029,3.434,long,8241,10683,0.12,3.022,58314,0.995,0.9
