,soa,Noun,VerbType,Pic,Distractor,Verb,Relatedness,DistractorType,Subj,Order,Block,Ncategory,expName,session,participant,Transcription,transcription,R0,R1,R2,R3,R4,R5,R6,utterance,Vagr,Vcodability,unaccusativity,obj,Item,OnsetThe,Onset,The,dog,above,the,apple,is,AppleIs
1,simultaneous,desk,Unacc,boyUnacc.jpeg,shrink,float,Unrelated,Verb,boy,1,1,funiture,List1,1,1,{SL} The boy below the desk is floating,,961.5,468.9,339.2,628.6,179.6,468.9,159.6,NA,0.7,1.718,0.92,default,boyUnacc.jpeg.default,1430.4,961.5,468.9,339.2,628.6,179.6,468.9,159.6,628.5
2,simultaneous,church,Unacc,rabbitUnacc.jpeg,bounce,shake,Related,Verb,rabbit,2,1,building,List1,1,1,{SL} The rabbit above the church is shaking,bouncing,NA,NA,NA,NA,NA,NA,NA,NA,0.54,2.711,0.8,default,rabbitUnacc.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,negative,cannon,Unerg,clownUnerg.jpeg,crawl,walk,Related,Verb,clown,3,1,weapon,List1,1,1,{SL} The clown below the canon is walking,,871.7,548.7,518.8,469,99.7,459,169.6,NA,0.58,0.961,0.24,default,clownUnerg.jpeg.default,1420.4,871.7,548.7,518.8,469,99.7,459,169.6,628.6
4,negative,drill,Unacc,penguineUnacc.jpeg,drown,bounce,Unrelated,Verb,penguine,4,1,tool,List1,1,1,{SL} The penguin below the drill is bouncing,sneezing,NA,NA,NA,NA,NA,NA,NA,NA,0.54,1.736,NA,default,penguineUnacc.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,simultaneous,ax,Unacc,ballerinaUnacc.jpeg,grow,shrink,Related,Verb,ballerina,5,1,weapon,List1,1,1,{SL} The ballerina above the ax is shrinking,growing,NA,NA,NA,NA,NA,NA,NA,NA,0.76,1.56,0.92,default,ballerinaUnacc.jpeg.default,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,simultaneous,windmill,Unerg,chefUnerg.jpeg,bark,yell,Related,Verb,chef,6,1,building,List1,1,1,{SL} The chef above the windmill is yelling,,1380.5,189.6,518.8,439,79.8,718.4,718.3,NA,0.78,0.961,0.06,default,chefUnerg.jpeg.default,1570.1,1380.5,189.6,518.8,439,79.8,718.4,718.3,1436.7
7,negative,hammer,Unacc,dogUnacc.jpeg,trip,spin,Related,Verb,dog,7,1,tool,List1,1,1,{SL} The dog above the hammer is spinning,,1171,119.7,738.3,459,89.8,628.5,518.9,NA,0.12,3.022,0.9,default,dogUnacc.jpeg.default,1290.7,1171,119.7,738.3,459,89.8,628.5,518.9,1147.4
8,negative,chair,Unerg,rabitUnerg.jpeg,swim,smile,Unrelated,Verb,rabit,8,1,funiture,List1,1,1,{SL} The rabbit above the chair is smiling,,1051.2,149.7,488.9,449,69.8,658.5,239.5,NA,0.46,2.955,0.11,default,rabitUnerg.jpeg.default,1200.9,1051.2,149.7,488.9,449,69.8,658.5,239.5,898
9,simultaneous,apple,Unerg,dogUnerg.jpeg,yawn,bark,Unrelated,Verb,dog,9,1,fruit,List1,1,1,{SL} The dog above the apple is barking,,1111.1,109.8,279.3,389.1,219.5,688.5,229.5,NA,0.7,0.987,0,default,dogUnerg.jpeg.default,1220.9,1111.1,109.8,279.3,389.1,219.5,688.5,229.5,918
10,simultaneous,tomato,Unerg,penguineUnerg.jpeg,cough,sneeze,Related,Verb,penguine,10,1,fruit,List1,1,1,{SL} The penguin below the tomato is sneezing,,1320.6,618.6,469,269.4,139.6,538.8,169.6,NA,0.78,1.088,NA,default,penguineUnerg.jpeg.default,1939.2,1320.6,618.6,469,269.4,139.6,538.8,169.6,708.4
