Subject,Item,PrimeCategory,Response,PrimeType
1,1,Transitive,1,Dispreferred
1,3,Dative,1,Preferred
1,4,Transitive,1,Dispreferred
1,5,Locative,1,Preferred
1,6,Dative,0,Dispreferred
1,7,Transitive,1,Preferred
1,8,Locative,1,Dispreferred
1,10,Transitive,0,Preferred
1,11,Locative,0,Dispreferred
1,13,Transitive,0,Preferred
1,14,Locative,1,Preferred
1,15,Dative,1,Preferred
1,16,Transitive,0,Dispreferred
1,17,Locative,1,Dispreferred
1,19,Transitive,0,Preferred
1,21,Dative,0,Dispreferred
1,22,Transitive,1,Dispreferred
1,27,Dative,1,Preferred
1,28,Transitive,1,Dispreferred
1,30,Dative,1,Dispreferred
1,31,Transitive,1,Preferred
1,33,Dative,1,Dispreferred
1,34,Transitive,0,Preferred
1,36,Dative,1,Preferred
1,37,Transitive,1,Preferred
1,38,Locative,0,Preferred
1,39,Dative,1,Dispreferred
1,40,Transitive,1,Preferred
1,41,Locative,0,Dispreferred
1,42,Dative,1,Preferred
1,43,Transitive,0,Dispreferred
1,44,Locative,1,Preferred
1,45,Dative,1,Preferred
1,47,Locative,1,Dispreferred
2,1,Transitive,1,Preferred
2,3,Dative,0,Dispreferred
2,4,Transitive,1,Preferred
2,5,Locative,1,Dispreferred
2,6,Dative,0,Preferred
2,7,Transitive,1,Dispreferred
2,9,Dative,0,Dispreferred
2,10,Transitive,0,Dispreferred
2,11,Locative,0,Preferred
2,12,Dative,0,Preferred
2,13,Transitive,1,Dispreferred
2,14,Locative,1,Dispreferred
2,15,Dative,1,Dispreferred
2,16,Transitive,1,Preferred
2,18,Dative,1,Dispreferred
2,19,Transitive,1,Dispreferred
2,20,Locative,1,Preferred
2,21,Dative,0,Preferred
2,22,Transitive,1,Preferred
2,23,Locative,1,Dispreferred
2,24,Dative,1,Preferred
2,25,Transitive,0,Preferred
2,26,Locative,1,Preferred
2,27,Dative,0,Dispreferred
2,28,Transitive,1,Preferred
2,30,Dative,1,Preferred
2,31,Transitive,0,Dispreferred
2,33,Dative,1,Preferred
2,34,Transitive,0,Dispreferred
2,36,Dative,1,Dispreferred
2,37,Transitive,0,Dispreferred
2,38,Locative,1,Dispreferred
2,39,Dative,1,Preferred
2,40,Transitive,0,Dispreferred
2,41,Locative,1,Preferred
2,42,Dative,0,Dispreferred
2,43,Transitive,0,Preferred
2,44,Locative,1,Dispreferred
2,45,Dative,1,Dispreferred
2,46,Transitive,1,Preferred
2,47,Locative,1,Preferred
2,48,Dative,0,Preferred
3,1,Transitive,1,Dispreferred
3,3,Dative,0,Preferred
3,4,Transitive,1,Dispreferred
3,6,Dative,0,Dispreferred
3,7,Transitive,1,Preferred
3,10,Transitive,0,Preferred
3,12,Dative,0,Dispreferred
3,13,Transitive,1,Preferred
3,14,Locative,1,Preferred
3,15,Dative,0,Preferred
3,16,Transitive,1,Dispreferred
3,19,Transitive,1,Preferred
3,20,Locative,1,Dispreferred
3,21,Dative,0,Dispreferred
3,23,Locative,1,Preferred
3,24,Dative,0,Dispreferred
3,25,Transitive,0,Dispreferred
3,27,Dative,1,Preferred
3,28,Transitive,1,Dispreferred
3,29,Locative,1,Preferred
3,31,Transitive,1,Preferred
3,37,Transitive,1,Preferred
3,38,Locative,1,Preferred
3,39,Dative,1,Dispreferred
3,40,Transitive,0,Preferred
3,42,Dative,1,Preferred
3,43,Transitive,0,Dispreferred
3,45,Dative,1,Preferred
