Subject,Item,CardType,PrimeType,Response,VerbClass
1,1,Different,Preferred,1,Transitive
1,2,Same,Preferred,1,Locative
1,4,Different,Dispreferred,1,Transitive
1,5,Different,Dispreferred,0,Locative
1,6,Same,Dispreferred,0,Dative
1,7,Same,Preferred,1,Transitive
1,8,Different,Preferred,1,Locative
1,9,Different,Preferred,1,Dative
1,10,Same,Dispreferred,1,Transitive
1,11,Same,Dispreferred,1,Locative
1,12,Different,Dispreferred,1,Dative
1,13,Different,Preferred,1,Transitive
1,14,Same,Preferred,1,Locative
1,15,Same,Preferred,1,Dative
1,18,Same,Dispreferred,1,Dative
1,19,Same,Preferred,1,Transitive
1,21,Different,Preferred,0,Dative
1,22,Same,Dispreferred,1,Transitive
1,24,Different,Dispreferred,1,Dative
1,25,Different,Preferred,1,Transitive
1,26,Same,Preferred,1,Locative
1,27,Same,Preferred,1,Dative
1,28,Different,Dispreferred,1,Transitive
1,29,Different,Dispreferred,1,Locative
1,30,Same,Dispreferred,1,Dative
1,31,Same,Preferred,0,Transitive
1,32,Different,Preferred,1,Locative
1,33,Different,Preferred,1,Dative
1,34,Same,Dispreferred,0,Transitive
1,35,Same,Dispreferred,1,Locative
1,36,Different,Dispreferred,1,Dative
1,37,Different,Preferred,0,Transitive
1,39,Same,Preferred,1,Dative
1,40,Different,Dispreferred,0,Transitive
1,41,Different,Dispreferred,1,Locative
1,42,Same,Dispreferred,1,Dative
1,43,Same,Preferred,1,Transitive
1,44,Different,Preferred,1,Locative
1,45,Different,Preferred,0,Dative
1,46,Same,Dispreferred,1,Transitive
1,47,Same,Dispreferred,1,Locative
1,48,Different,Dispreferred,1,Dative
2,1,Same,Preferred,1,Transitive
2,3,Different,Preferred,1,Dative
2,4,Same,Dispreferred,1,Transitive
2,5,Same,Dispreferred,0,Locative
2,6,Different,Dispreferred,0,Dative
2,7,Different,Preferred,1,Transitive
2,8,Same,Preferred,1,Locative
2,9,Same,Preferred,1,Dative
2,10,Different,Dispreferred,0,Transitive
2,12,Same,Dispreferred,1,Dative
2,13,Same,Preferred,1,Transitive
2,15,Different,Preferred,1,Dative
2,17,Same,Dispreferred,1,Locative
2,18,Different,Dispreferred,0,Dative
2,19,Different,Preferred,1,Transitive
2,20,Same,Preferred,0,Locative
2,22,Different,Dispreferred,1,Transitive
2,23,Different,Dispreferred,0,Locative
2,24,Same,Dispreferred,1,Dative
2,25,Same,Preferred,1,Transitive
2,26,Different,Preferred,1,Locative
2,27,Different,Preferred,0,Dative
2,28,Same,Dispreferred,0,Transitive
2,30,Different,Dispreferred,0,Dative
2,31,Different,Preferred,0,Transitive
2,32,Same,Preferred,1,Locative
2,33,Same,Preferred,0,Dative
2,34,Different,Dispreferred,0,Transitive
2,35,Different,Dispreferred,0,Locative
2,36,Same,Dispreferred,1,Dative
2,37,Same,Preferred,1,Transitive
2,38,Different,Preferred,1,Locative
2,39,Different,Preferred,1,Dative
2,40,Same,Dispreferred,0,Transitive
2,41,Same,Dispreferred,1,Locative
2,42,Different,Dispreferred,0,Dative
2,43,Different,Preferred,1,Transitive
2,44,Same,Preferred,1,Locative
2,45,Same,Preferred,1,Dative
2,46,Different,Dispreferred,1,Transitive
2,47,Different,Dispreferred,1,Locative
3,1,Same,Preferred,1,Transitive
3,4,Same,Dispreferred,1,Transitive
3,5,Same,Dispreferred,0,Locative
3,6,Different,Dispreferred,1,Dative
3,7,Different,Preferred,1,Transitive
3,9,Same,Preferred,0,Dative
3,12,Same,Dispreferred,0,Dative
3,13,Same,Preferred,1,Transitive
3,14,Different,Preferred,1,Locative
3,15,Different,Preferred,1,Dative
3,16,Same,Dispreferred,0,Transitive
3,18,Different,Dispreferred,1,Dative
3,19,Different,Preferred,1,Transitive
3,20,Same,Preferred,0,Locative
3,22,Different,Dispreferred,0,Transitive
3,25,Same,Preferred,1,Transitive
3,26,Different,Preferred,1,Locative
3,27,Different,Preferred,1,Dative
3,28,Same,Dispreferred,1,Transitive
3,30,Different,Dispreferred,1,Dative
3,32,Same,Preferred,1,Locative
3,34,Different,Dispreferred,1,Transitive
3,35,Different,Dispreferred,0,Locative
3,36,Same,Dispreferred,1,Dative
3,37,Same,Preferred,1,Transitive
3,40,Same,Dispreferred,0,Transitive
3,41,Same,Dispreferred,1,Locative
3,42,Different,Dispreferred,0,Dative
3,43,Different,Preferred,1,Transitive
3,45,Same,Preferred,0,Dative
3,46,Different,Dispreferred,1,Transitive
3,48,Same,Dispreferred,1,Dative
4,1,Different,Preferred,1,Transitive
4,3,Same,Preferred,1,Dative
4,5,Different,Dispreferred,0,Locative
4,6,Same,Dispreferred,0,Dative
4,7,Same,Preferred,1,Transitive
4,8,Different,Preferred,1,Locative
4,9,Different,Preferred,1,Dative
4,10,Same,Dispreferred,0,Transitive
4,11,Same,Dispreferred,1,Locative
4,12,Different,Dispreferred,0,Dative
4,13,Different,Preferred,1,Transitive
4,14,Same,Preferred,1,Locative
4,15,Same,Preferred,1,Dative
4,17,Different,Dispreferred,1,Locative
4,18,Same,Dispreferred,0,Dative
4,20,Different,Preferred,0,Locative
4,21,Different,Preferred,0,Dative
4,22,Same,Dispreferred,1,Transitive
4,23,Same,Dispreferred,1,Locative
4,24,Different,Dispreferred,0,Dative
4,25,Different,Preferred,1,Transitive
4,26,Same,Preferred,1,Locative
4,27,Same,Preferred,0,Dative
4,28,Different,Dispreferred,1,Transitive
4,29,Different,Dispreferred,1,Locative
4,31,Same,Preferred,0,Transitive
4,32,Different,Preferred,1,Locative
4,33,Different,Preferred,0,Dative
4,34,Same,Dispreferred,1,Transitive
4,35,Same,Dispreferred,0,Locative
4,36,Different,Dispreferred,1,Dative
4,37,Different,Preferred,1,Transitive
4,38,Same,Preferred,1,Locative
4,39,Same,Preferred,1,Dative
4,40,Different,Dispreferred,0,Transitive
4,42,Same,Dispreferred,0,Dative
4,43,Same,Preferred,1,Transitive
4,45,Different,Preferred,1,Dative
4,46,Same,Dispreferred,1,Transitive
4,47,Same,Dispreferred,1,Locative
4,48,Different,Dispreferred,1,Dative
5,3,Same,Dispreferred,1,Dative
5,4,Different,Preferred,1,Transitive
5,5,Different,Preferred,0,Locative
5,6,Same,Preferred,0,Dative
5,7,Same,Dispreferred,1,Transitive
5,9,Different,Dispreferred,0,Dative
5,10,Same,Preferred,1,Transitive
5,12,Different,Preferred,0,Dative
5,13,Different,Dispreferred,0,Transitive
5,14,Same,Dispreferred,1,Locative
5,15,Same,Dispreferred,0,Dative
5,18,Same,Preferred,0,Dative
5,19,Same,Dispreferred,1,Transitive
5,20,Different,Dispreferred,0,Locative
5,21,Different,Dispreferred,0,Dative
5,22,Same,Preferred,1,Transitive
5,25,Different,Dispreferred,0,Transitive
5,27,Same,Dispreferred,0,Dative
5,28,Different,Preferred,1,Transitive
5,30,Same,Preferred,0,Dative
5,31,Same,Dispreferred,0,Transitive
5,32,Different,Dispreferred,0,Locative
5,33,Different,Dispreferred,0,Dative
5,34,Same,Preferred,1,Transitive
5,35,Same,Preferred,0,Locative
5,36,Different,Preferred,0,Dative
5,37,Different,Dispreferred,0,Transitive
5,39,Same,Dispreferred,1,Dative
5,40,Different,Preferred,0,Transitive
5,42,Same,Preferred,0,Dative
5,43,Same,Dispreferred,1,Transitive
5,45,Different,Dispreferred,0,Dative
5,48,Different,Preferred,1,Dative
6,1,Same,Dispreferred,1,Transitive
6,3,Different,Dispreferred,1,Dative
6,4,Same,Preferred,1,Transitive
6,5,Same,Preferred,0,Locative
6,6,Different,Preferred,1,Dative
6,7,Different,Dispreferred,1,Transitive
6,8,Same,Dispreferred,1,Locative
6,9,Same,Dispreferred,1,Dative
6,10,Different,Preferred,1,Transitive
6,12,Same,Preferred,1,Dative
6,13,Same,Dispreferred,1,Transitive
6,14,Different,Dispreferred,1,Locative
6,15,Different,Dispreferred,1,Dative
6,16,Same,Preferred,0,Transitive
6,17,Same,Preferred,1,Locative
6,18,Different,Preferred,1,Dative
6,19,Different,Dispreferred,1,Transitive
6,20,Same,Dispreferred,0,Locative
6,21,Same,Dispreferred,0,Dative
6,22,Different,Preferred,1,Transitive
6,23,Different,Preferred,0,Locative
6,24,Same,Preferred,1,Dative
6,25,Same,Dispreferred,0,Transitive
