Subject,List,CardSet,VerbCat,Response,VerbClass,Item,Homogeneity,PrimeType
1,1,1,give,1,Dative,1,Homogeneous,Dispreferred
1,1,1,give,0,Dative,2,Homogeneous,Dispreferred
1,1,1,give,0,Dative,3,Homogeneous,Preferred
1,1,1,spray,1,Locative,39,Heterogeneous,Preferred
1,1,1,give,1,Dative,4,Homogeneous,Preferred
1,1,1,give,0,Dative,5,Heterogeneous,Dispreferred
1,1,1,put,1,Locative,25,Homogeneous,Preferred
1,1,1,read,1,Dative,9,Heterogeneous,Preferred
1,1,1,put,1,Locative,27,Homogeneous,Dispreferred
1,1,1,rub,1,Locative,34,Heterogeneous,Preferred
1,1,1,show,1,Dative,13,Homogeneous,Preferred
1,1,1,show,1,Dative,14,Homogeneous,Preferred
1,1,1,sprinkle,1,Locative,47,Heterogeneous,Preferred
1,1,1,show,1,Dative,16,Homogeneous,Dispreferred
1,1,1,spray,1,Locative,38,Heterogeneous,Dispreferred
1,1,1,show,1,Dative,15,Homogeneous,Dispreferred
1,1,1,spray,1,Locative,42,Homogeneous,Preferred
1,1,1,read,1,Dative,10,Heterogeneous,Dispreferred
1,1,1,spray,1,Locative,40,Homogeneous,Preferred
1,1,1,give,1,Dative,6,Heterogeneous,Preferred
1,1,1,spray,1,Locative,41,Homogeneous,Dispreferred
1,1,1,throw,1,Dative,20,Heterogeneous,Dispreferred
1,1,1,spray,1,Locative,37,Homogeneous,Dispreferred
1,1,1,show,1,Dative,18,Heterogeneous,Preferred
2,2,1,give,1,Dative,1,Homogeneous,Preferred
2,2,1,give,1,Dative,2,Homogeneous,Preferred
2,2,1,give,1,Dative,3,Homogeneous,Dispreferred
2,2,1,spray,0,Locative,39,Heterogeneous,Dispreferred
2,2,1,give,1,Dative,4,Homogeneous,Dispreferred
2,2,1,give,1,Dative,5,Heterogeneous,Preferred
2,2,1,read,1,Dative,9,Heterogeneous,Dispreferred
2,2,1,put,1,Locative,28,Homogeneous,Preferred
2,2,1,put,1,Locative,30,Heterogeneous,Preferred
2,2,1,show,1,Dative,14,Homogeneous,Dispreferred
2,2,1,sprinkle,1,Locative,47,Heterogeneous,Dispreferred
2,2,1,show,1,Dative,16,Homogeneous,Preferred
2,2,1,spray,1,Locative,38,Heterogeneous,Preferred
2,2,1,show,1,Dative,15,Homogeneous,Preferred
2,2,1,spray,1,Locative,42,Homogeneous,Dispreferred
2,2,1,read,1,Dative,10,Heterogeneous,Preferred
2,2,1,give,1,Dative,6,Heterogeneous,Dispreferred
2,2,1,spray,0,Locative,41,Homogeneous,Preferred
2,2,1,throw,1,Dative,20,Heterogeneous,Preferred
2,2,1,spray,1,Locative,37,Homogeneous,Preferred
2,2,1,show,1,Dative,18,Heterogeneous,Dispreferred
3,3,2,read,1,Dative,7,Homogeneous,Preferred
3,3,2,read,1,Dative,8,Homogeneous,Preferred
3,3,2,put,0,Locative,27,Heterogeneous,Dispreferred
3,3,2,read,1,Dative,9,Homogeneous,Dispreferred
3,3,2,spray,1,Locative,41,Heterogeneous,Preferred
3,3,2,read,1,Dative,12,Heterogeneous,Preferred
3,3,2,give,0,Dative,3,Heterogeneous,Preferred
3,3,2,rub,1,Locative,32,Homogeneous,Preferred
3,3,2,show,0,Dative,15,Heterogeneous,Dispreferred
3,3,2,throw,1,Dative,24,Homogeneous,Preferred
3,3,2,rub,1,Locative,35,Heterogeneous,Preferred
3,3,2,throw,1,Dative,19,Homogeneous,Preferred
3,3,2,spray,1,Locative,37,Heterogeneous,Dispreferred
3,3,2,throw,1,Dative,20,Homogeneous,Dispreferred
3,3,2,sprinkle,1,Locative,46,Heterogeneous,Preferred
3,3,2,throw,1,Dative,21,Homogeneous,Dispreferred
3,3,2,sprinkle,0,Locative,43,Homogeneous,Dispreferred
3,3,2,give,0,Dative,4,Heterogeneous,Preferred
3,3,2,read,0,Dative,11,Heterogeneous,Dispreferred
3,3,2,show,1,Dative,16,Heterogeneous,Dispreferred
3,3,2,sprinkle,1,Locative,47,Homogeneous,Preferred
4,4,2,read,1,Dative,7,Homogeneous,Dispreferred
4,4,2,read,1,Dative,8,Homogeneous,Dispreferred
4,4,2,put,0,Locative,27,Heterogeneous,Preferred
4,4,2,read,1,Dative,9,Homogeneous,Preferred
4,4,2,read,1,Dative,10,Homogeneous,Preferred
4,4,2,spray,1,Locative,41,Heterogeneous,Dispreferred
4,4,2,give,1,Dative,3,Heterogeneous,Dispreferred
4,4,2,rub,1,Locative,32,Homogeneous,Dispreferred
4,4,2,throw,1,Dative,23,Heterogeneous,Preferred
4,4,2,show,1,Dative,15,Heterogeneous,Preferred
4,4,2,throw,1,Dative,24,Homogeneous,Dispreferred
4,4,2,rub,1,Locative,35,Heterogeneous,Dispreferred
4,4,2,throw,1,Dative,19,Homogeneous,Dispreferred
4,4,2,spray,1,Locative,37,Heterogeneous,Preferred
4,4,2,throw,1,Dative,20,Homogeneous,Preferred
4,4,2,sprinkle,1,Locative,46,Heterogeneous,Dispreferred
4,4,2,throw,1,Dative,21,Homogeneous,Preferred
4,4,2,sprinkle,1,Locative,43,Homogeneous,Preferred
4,4,2,give,1,Dative,4,Heterogeneous,Dispreferred
4,4,2,sprinkle,1,Locative,44,Homogeneous,Preferred
4,4,2,read,1,Dative,11,Heterogeneous,Preferred
4,4,2,sprinkle,1,Locative,45,Homogeneous,Dispreferred
4,4,2,show,1,Dative,16,Heterogeneous,Preferred
4,4,2,sprinkle,1,Locative,47,Homogeneous,Dispreferred
4,4,2,throw,1,Dative,22,Heterogeneous,Dispreferred
5,5,3,give,0,Dative,3,Homogeneous,Preferred
5,5,3,put,1,Locative,25,Heterogeneous,Preferred
5,5,3,give,0,Dative,4,Homogeneous,Preferred
5,5,3,rub,1,Locative,33,Heterogeneous,Dispreferred
5,5,3,give,1,Dative,5,Homogeneous,Dispreferred
5,5,3,sprinkle,1,Locative,45,Heterogeneous,Dispreferred
5,5,3,give,1,Dative,1,Heterogeneous,Dispreferred
5,5,3,put,1,Locative,27,Homogeneous,Dispreferred
5,5,3,put,1,Locative,28,Homogeneous,Dispreferred
5,5,3,put,1,Locative,29,Homogeneous,Preferred
5,5,3,throw,1,Dative,20,Heterogeneous,Preferred
5,5,3,put,1,Locative,30,Homogeneous,Preferred
5,5,3,rub,1,Locative,34,Heterogeneous,Preferred
5,5,3,show,1,Dative,16,Homogeneous,Dispreferred
5,5,3,show,0,Dative,15,Homogeneous,Dispreferred
5,5,3,spray,1,Locative,40,Heterogeneous,Dispreferred
5,5,3,show,0,Dative,18,Homogeneous,Preferred
5,5,3,spray,1,Locative,41,Homogeneous,Dispreferred
5,5,3,read,1,Dative,10,Heterogeneous,Dispreferred
