Block,Homogeneity,PrimeType,Target,Response,VerbClass,Item,List,Subject
E,Heterogeneous,Preferred,the woman is spritzing water on her plants,0,Locative,1,1,1
H,Heterogeneous,Dispreferred,The quarterback is throwing the football to his receiver,0,Dative,2,1,1
H,Homogenous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,1,1
E,Homogenous,Dispreferred,The lawyer is showing the gun to the judge,0,Dative,5,1,1
A,Heterogeneous,Preferred,The elephant is spraying water on the clown,1,Locative,7,1,1
F,Homogenous,Dispreferred,The bus is splashing the people with mud,0,Locative,8,1,1
F,Homogenous,Preferred,the artist is splattering paint on his canvas,1,Locative,9,1,1
G,Homogenous,Preferred,Some guy is throwing his friend with a frisbee,0,Dative,10,1,1
B,Homogenous,Preferred,Santa Claus is stuffing fruit into stocking,1,Locative,11,1,1
B,Homogenous,Dispreferred,men are loading a truck with toxic waste,1,Locative,12,1,1
A,Homogenous,Dispreferred,An old woman is giving a cake to an old man,1,Dative,13,1,1
F,Heterogeneous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,1,1
E,Homogenous,Preferred,A woman is showing a man a dress,0,Dative,15,1,1
C,Homogenous,Preferred,A woman is reading some kids a book,1,Dative,17,1,1
H,Heterogeneous,Preferred,A priest is reading the class the bible,0,Dative,18,1,1
F,Heterogeneous,Preferred,A nurse is showing a boy his x-ray,1,Dative,19,1,1
A,Homogenous,Preferred,A nurse is handing a girl crutches,1,Dative,20,1,1
E,Heterogeneous,Dispreferred,A man is packing a cooler with beers,0,Locative,21,1,1
D,Heterogeneous,Preferred,A man is giving a little girl a gift,1,Dative,22,1,1
H,Homogenous,Dispreferred,A man is drizzling his nachos with cheese,0,Locative,23,1,1
D,Heterogeneous,Dispreferred,A guy is showing his ID to a bouncer,0,Dative,24,1,1
G,Heterogeneous,Dispreferred,A girl is sprinkling her soup with salt,0,Locative,25,1,1
B,Heterogeneous,Preferred,A girl is reading a little boy a book,0,Dative,26,1,1
B,Heterogeneous,Dispreferred,A girl is handing a paintbrush to a man,0,Dative,27,1,1
C,Homogenous,Dispreferred,A father is reading a book to his little girl,0,Dative,28,1,1
A,Heterogeneous,Dispreferred,A clown is cramming a box with his shoes,0,Locative,29,1,1
C,Heterogeneous,Preferred,A chef is brushing butter on a turkey,0,Locative,30,1,1
G,Homogenous,Dispreferred,A boy is throwing a baseball to a man,0,Dative,31,1,1
C,Heterogeneous,Dispreferred,A baker is dusting cake with powdered sugar,1,Locative,32,1,1
F,Homogenous,Preferred,the woman is spritzing water on her plants,0,Locative,1,2,2
G,Homogenous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,2,2
C,Heterogeneous,Dispreferred,The mother is dabbing her daughter's cut with alcohol,1,Locative,3,2,2
C,Heterogeneous,Preferred,The man is scattering rose petals on the bed,1,Locative,4,2,2
D,Heterogeneous,Preferred,The lawyer is showing the judge the gun,0,Dative,5,2,2
F,Homogenous,Dispreferred,The elephant is spraying the clown with water,0,Locative,7,2,2
E,Heterogeneous,Dispreferred,The bus is splashing the people with mud,0,Locative,8,2,2
A,Heterogeneous,Dispreferred,the artist is splattering his canvas with paint,1,Locative,9,2,2
F,Heterogeneous,Preferred,Some guy is throwing his friend a frisbee,0,Dative,10,2,2
A,Heterogeneous,Preferred,Santa Claus is stuffing fruit into stocking,1,Locative,11,2,2
E,Heterogeneous,Preferred,men are loading toxic waste on a truck,1,Locative,12,2,2
B,Heterogeneous,Preferred,An old woman is giving an old man a cake,0,Dative,13,2,2
G,Homogenous,Dispreferred,A woman is tossing a beachball to a patient,0,Dative,14,2,2
F,Heterogeneous,Dispreferred,A woman is showing a dress to a man,0,Dative,15,2,2
D,Homogenous,Preferred,A woman is rubbing lotion on a baby,1,Locative,16,2,2
H,Heterogeneous,Dispreferred,A woman is reading a book to some kids,0,Dative,17,2,2
C,Homogenous,Dispreferred,A priest is reading the bible to the class,0,Dative,18,2,2
E,Homogenous,Dispreferred,A nurse is showing his x-ray to a boy,1,Dative,19,2,2
D,Heterogeneous,Dispreferred,A nurse is handing  crutches to a girl,0,Dative,20,2,2
B,Homogenous,Preferred,A man is packing beers in a cooler,0,Locative,21,2,2
A,Homogenous,Dispreferred,A man is giving a gift to a little girl,1,Dative,22,2,2
G,Heterogeneous,Preferred,A man is drizzling cheese on his nachos,1,Locative,23,2,2
E,Homogenous,Preferred,A guy is showing a bouncer his ID,0,Dative,24,2,2
H,Homogenous,Preferred,A girl is sprinkling salt on her soup,1,Locative,25,2,2
C,Homogenous,Preferred,A girl is reading a little boy a book,0,Dative,26,2,2
A,Homogenous,Preferred,A girl is handing a man a paintbrush,1,Dative,27,2,2
B,Heterogeneous,Dispreferred,A father is reading a book to his little girl,0,Dative,28,2,2
B,Homogenous,Dispreferred,A clown is cramming a box with his shoes,0,Locative,29,2,2
D,Homogenous,Dispreferred,A chef is brushing a turkey with butter,1,Locative,30,2,2
H,Heterogeneous,Preferred,A boy is throwing a man a baseball,0,Dative,31,2,2
H,Homogenous,Dispreferred,A baker is dusting cake with powdered sugar,0,Locative,32,2,2
H,Heterogeneous,Preferred,The quarterback is throwing his reciever the football,0,Dative,2,3,3
D,Homogenous,Dispreferred,The mother is dabbing his daughter's cut with alcohol,0,Locative,3,3,3
E,Homogenous,Preferred,The lawyer is showing the judge the gun,1,Dative,5,3,3
A,Heterogeneous,Dispreferred,The elephant is spraying the clown with water,0,Locative,7,3,3
F,Homogenous,Preferred,The bus is splashing mud onto the people,1,Locative,8,3,3
F,Homogenous,Dispreferred,the artist is splattering his canvas with paint,1,Locative,9,3,3
G,Homogenous,Dispreferred,Some guy is throwing a frisbee to his friend,1,Dative,10,3,3
B,Homogenous,Dispreferred,Santa Claus is stuffing stockings with fruit,0,Locative,11,3,3
B,Homogenous,Preferred,men are loading toxic waste on a truck,1,Locative,12,3,3
A,Homogenous,Preferred,An old woman is giving an old man a cake,1,Dative,13,3,3
F,Heterogeneous,Preferred,A woman is tossing a patient a beachball,0,Dative,14,3,3
E,Homogenous,Dispreferred,A woman is showing a dress to a man,0,Dative,15,3,3
G,Heterogeneous,Dispreferred,A woman is rubbing a baby with lotion,1,Locative,16,3,3
