Subject	Trial	PrimeCategory	PT	TargBInary	PrimeType
1	1	AP	0	1	Dispreferred
1	3	Dat	1	1	Preferred
1	4	AP	0	1	Dispreferred
1	5	SL	1	1	Preferred
1	6	Dat	0	0	Dispreferred
1	7	AP	1	1	Preferred
1	8	SL	0	1	Dispreferred
1	10	AP	1	0	Preferred
1	11	SL	0	0	Dispreferred
1	13	AP	1	0	Preferred
1	14	SL	1	1	Preferred
1	15	Dat	1	1	Preferred
1	16	AP	0	0	Dispreferred
1	17	SL	0	1	Dispreferred
1	19	AP	1	0	Preferred
1	21	Dat	0	0	Dispreferred
1	22	AP	0	1	Dispreferred
1	27	Dat	1	1	Preferred
1	28	AP	0	1	Dispreferred
1	30	Dat	0	1	Dispreferred
1	31	AP	1	1	Preferred
1	33	Dat	0	1	Dispreferred
1	34	AP	1	0	Preferred
1	36	Dat	1	1	Preferred
1	37	AP	1	1	Preferred
1	38	SL	1	0	Preferred
1	39	Dat	0	1	Dispreferred
1	40	AP	1	1	Preferred
1	41	SL	0	0	Dispreferred
1	42	Dat	1	1	Preferred
1	43	AP	0	0	Dispreferred
1	44	SL	1	1	Preferred
1	45	Dat	1	1	Preferred
1	47	SL	0	1	Dispreferred
2	1	AP	1	1	Preferred
2	3	Dat	0	0	Dispreferred
2	4	AP	1	1	Preferred
2	5	SL	0	1	Dispreferred
2	6	Dat	1	0	Preferred
2	7	AP	0	1	Dispreferred
2	9	Dat	0	0	Dispreferred
2	10	AP	0	0	Dispreferred
2	11	SL	1	0	Preferred
2	12	Dat	1	0	Preferred
2	13	AP	0	1	Dispreferred
2	14	SL	0	1	Dispreferred
2	15	Dat	0	1	Dispreferred
2	16	AP	1	1	Preferred
2	18	Dat	0	1	Dispreferred
2	19	AP	0	1	Dispreferred
2	20	SL	1	1	Preferred
2	21	Dat	1	0	Preferred
2	22	AP	1	1	Preferred
2	23	SL	0	1	Dispreferred
2	24	Dat	1	1	Preferred
2	25	AP	1	0	Preferred
2	26	SL	1	1	Preferred
2	27	Dat	0	0	Dispreferred
2	28	AP	1	1	Preferred
2	30	Dat	1	1	Preferred
2	31	AP	0	0	Dispreferred
2	33	Dat	1	1	Preferred
2	34	AP	0	0	Dispreferred
2	36	Dat	0	1	Dispreferred
2	37	AP	0	0	Dispreferred
2	38	SL	0	1	Dispreferred
2	39	Dat	1	1	Preferred
2	40	AP	0	0	Dispreferred
2	41	SL	1	1	Preferred
