Subject	Trial	TargBinary	ExpCond	PrimeCategory	PrimeType
49	29.gif	1	Same	Transitive	Prime_B
49	8.gif	0	Same	Locative	Prime_B
49	T1.gif	1	Same	Dative	Prime_A
49	6.gif	1	Same	Transitive	Prime_B
49	76.gif	1	Same	Locative	Prime_A
49	33.gif	1	Same	Dative	Prime_B
49	19.gif	1	Same	Transitive	Prime_A
49	11.gif	1	Same	Locative	Prime_A
49	90.gif	1	Same	Dative	Prime_A
49	22.gif	1	Same	Transitive	Prime_A
49	21.gif	1	Same	Locative	Prime_B
49	26.gif	1	Same	Dative	Prime_B
49	28.gif	1	Different	Transitive	Prime_A
49	13.gif	1	Different	Locative	Prime_A
49	52.gif	1	Different	Dative	Prime_A
49	25.gif	0	Different	Transitive	Prime_B
49	45.gif	1	Different	Dative	Prime_A
49	30.gif	1	Different	Transitive	Prime_A
49	114.gif	1	Different	Locative	Prime_B
49	T6.gif	1	Different	Dative	Prime_B
49	37.gif	1	Different	Transitive	Prime_B
49	15.gif	1	Different	Locative	Prime_A
49	51.gif	1	Different	Dative	Prime_B
49	84.gif	1	Different	Dative	Prime_A
49	32.gif	1	Different	Transitive	Prime_B
49	34.gif	1	Different	Dative	Prime_B
49	40.gif	0	Different	Transitive	Prime_A
49	74.gif	1	Different	Locative	Prime_A
49	68.gif	1	Different	Dative	Prime_B
49	39.gif	0	Different	Transitive	Prime_A
49	82.gif	1	Different	Dative	Prime_A
49	57.gif	0	Same	Transitive	Prime_A
49	81.gif	1	Same	Locative	Prime_A
49	43.gif	1	Same	Dative	Prime_B
49	93.gif	1	Same	Transitive	Prime_A
49	108.gif	1	Same	Locative	Prime_B
49	T11.gif	1	Same	Dative	Prime_A
49	1.gif	0	Same	Transitive	Prime_B
49	112.gif	1	Same	Locative	Prime_A
49	44.gif	0	Same	Dative	Prime_A
49	38.gif	1	Same	Transitive	Prime_B
49	T4.gif	1	Same	Dative	Prime_B
50	26.gif	0	Same	Dative	Prime_B
50	22.gif	1	Same	Transitive	Prime_A
50	90.gif	1	Same	Dative	Prime_A
50	11.gif	1	Same	Locative	Prime_A
50	19.gif	1	Same	Transitive	Prime_A
50	76.gif	1	Same	Locative	Prime_A
50	6.gif	1	Same	Transitive	Prime_B
50	T1.gif	1	Same	Dative	Prime_A
50	29.gif	0	Same	Transitive	Prime_B
50	51.gif	1	Different	Dative	Prime_B
50	15.gif	1	Different	Locative	Prime_A
50	37.gif	0	Different	Transitive	Prime_B
50	114.gif	1	Different	Locative	Prime_B
50	30.gif	0	Different	Transitive	Prime_A
50	45.gif	1	Different	Dative	Prime_A
50	66.gif	1	Different	Locative	Prime_B
50	25.gif	1	Different	Transitive	Prime_B
50	52.gif	1	Different	Dative	Prime_A
50	13.gif	1	Different	Locative	Prime_A
50	28.gif	1	Different	Transitive	Prime_A
50	82.gif	1	Different	Dative	Prime_A
50	68.gif	1	Different	Dative	Prime_B
50	74.gif	1	Different	Locative	Prime_A
50	40.gif	0	Different	Transitive	Prime_A
50	104.gif	1	Different	Locative	Prime_A
50	32.gif	1	Different	Transitive	Prime_B
50	84.gif	1	Different	Dative	Prime_A
50	70.gif	1	Different	Locative	Prime_B
50	109.gif	1	Same	Locative	Prime_B
50	44.gif	0	Same	Dative	Prime_A
50	112.gif	1	Same	Locative	Prime_A
50	1.gif	0	Same	Transitive	Prime_B
50	93.gif	1	Same	Transitive	Prime_A
50	43.gif	1	Same	Dative	Prime_B
50	81.gif	1	Same	Locative	Prime_A
51	29.gif	1	Different	Transitive	Prime_A
51	T1.gif	1	Different	Dative	Prime_B
51	6.gif	1	Different	Transitive	Prime_A
51	76.gif	1	Different	Locative	Prime_B
51	33.gif	1	Different	Dative	Prime_A
51	19.gif	1	Different	Transitive	Prime_B
51	90.gif	1	Different	Dative	Prime_B
51	22.gif	0	Different	Transitive	Prime_B
51	28.gif	0	Same	Transitive	Prime_B
