Subject	Item	CardTyp	PrimeType	TargBinary	VerbClass
1	1	Diff	Prime_A	1	Transitive
1	2	Same	Prime_A	1	Locative
1	4	Diff	Prime_B	1	Transitive
1	5	Diff	Prime_B	0	Locative
1	6	Same	Prime_B	0	Dative
1	7	Same	Prime_A	1	Transitive
1	8	Diff	Prime_A	1	Locative
1	9	Diff	Prime_A	1	Dative
1	10	Same	Prime_B	1	Transitive
1	11	Same	Prime_B	1	Locative
1	12	Diff	Prime_B	1	Dative
1	13	Diff	Prime_A	1	Transitive
1	14	Same	Prime_A	1	Locative
1	15	Same	Prime_A	1	Dative
1	18	Same	Prime_B	1	Dative
1	19	Same	Prime_A	1	Transitive
1	21	Diff	Prime_A	0	Dative
1	22	Same	Prime_B	1	Transitive
1	24	Diff	Prime_B	1	Dative
1	25	Diff	Prime_A	1	Transitive
1	26	Same	Prime_A	1	Locative
1	27	Same	Prime_A	1	Dative
1	28	Diff	Prime_B	1	Transitive
1	29	Diff	Prime_B	1	Locative
1	30	Same	Prime_B	1	Dative
1	31	Same	Prime_A	0	Transitive
1	32	Diff	Prime_A	1	Locative
1	33	Diff	Prime_A	1	Dative
1	34	Same	Prime_B	0	Transitive
1	35	Same	Prime_B	1	Locative
1	36	Diff	Prime_B	1	Dative
1	37	Diff	Prime_A	0	Transitive
1	39	Same	Prime_A	1	Dative
1	40	Diff	Prime_B	0	Transitive
1	41	Diff	Prime_B	1	Locative
1	42	Same	Prime_B	1	Dative
1	43	Same	Prime_A	1	Transitive
1	44	Diff	Prime_A	1	Locative
1	45	Diff	Prime_A	0	Dative
1	46	Same	Prime_B	1	Transitive
1	47	Same	Prime_B	1	Locative
1	48	Diff	Prime_B	1	Dative
2	1	Same	Prime_A	1	Transitive
2	3	Diff	Prime_A	1	Dative
2	4	Same	Prime_B	1	Transitive
2	5	Same	Prime_B	0	Locative
2	6	Diff	Prime_B	0	Dative
2	7	Diff	Prime_A	1	Transitive
2	8	Same	Prime_A	1	Locative
2	9	Same	Prime_A	1	Dative
2	10	Diff	Prime_B	0	Transitive
2	12	Same	Prime_B	1	Dative
2	13	Same	Prime_A	1	Transitive
2	15	Diff	Prime_A	1	Dative
2	17	Same	Prime_B	1	Locative
2	18	Diff	Prime_B	0	Dative
2	19	Diff	Prime_A	1	Transitive
2	20	Same	Prime_A	0	Locative
2	22	Diff	Prime_B	1	Transitive
2	23	Diff	Prime_B	0	Locative
2	24	Same	Prime_B	1	Dative
2	25	Same	Prime_A	1	Transitive
2	26	Diff	Prime_A	1	Locative
2	27	Diff	Prime_A	0	Dative
2	28	Same	Prime_B	0	Transitive
2	30	Diff	Prime_B	0	Dative
2	31	Diff	Prime_A	0	Transitive
2	32	Same	Prime_A	1	Locative
2	33	Same	Prime_A	0	Dative
2	34	Diff	Prime_B	0	Transitive
2	35	Diff	Prime_B	0	Locative
2	36	Same	Prime_B	1	Dative
2	37	Same	Prime_A	1	Transitive
2	38	Diff	Prime_A	1	Locative
2	39	Diff	Prime_A	1	Dative
2	40	Same	Prime_B	0	Transitive
2	41	Same	Prime_B	1	Locative
2	42	Diff	Prime_B	0	Dative
2	43	Diff	Prime_A	1	Transitive
2	44	Same	Prime_A	1	Locative
2	45	Same	Prime_A	1	Dative
2	46	Diff	Prime_B	1	Transitive
2	47	Diff	Prime_B	1	Locative
3	1	Same	Prime_A	1	Transitive
3	4	Same	Prime_B	1	Transitive
3	5	Same	Prime_B	0	Locative
3	6	Diff	Prime_B	1	Dative
