"Subject" "AbsTrial" "List" "CardSet" "VerbCat" "Confusable." "TargBinary" "PTnumeric" "VerbClass" "Item" "PrimeType" "Homogeneity"
"1" 1 1 1 1 "give" 1 1 0 "Dative" 1 "dispreferred" "Homogenous"
"2" 1 4 1 1 "give" 1 0 0 "Dative" 2 "dispreferred" "Homogenous"
"3" 1 7 1 1 "give" 1 0 1 "Dative" 3 "preferred" "Homogenous"
"4" 1 9 1 1 "spray" 0 1 1 "Locative" 39 "preferred" "Heterogenous"
"5" 1 10 1 1 "give" 1 1 1 "Dative" 4 "preferred" "Homogenous"
"6" 1 13 1 1 "give" 0 0 0 "Dative" 5 "dispreferred" "Heterogenous"
"7" 1 14 1 1 "put" 1 1 1 "Locative" 25 "preferred" "Homogenous"
"8" 1 16 1 1 "read" 0 1 1 "Dative" 9 "preferred" "Heterogenous"
"9" 1 20 1 1 "put" 1 1 0 "Locative" 27 "dispreferred" "Homogenous"
"10" 1 26 1 1 "rub" 0 1 1 "Locative" 34 "preferred" "Heterogenous"
"11" 1 27 1 1 "show" 1 1 1 "Dative" 13 "preferred" "Homogenous"
"12" 1 30 1 1 "show" 1 1 1 "Dative" 14 "preferred" "Homogenous"
"13" 1 32 1 1 "sprinkle" 0 1 1 "Locative" 47 "preferred" "Heterogenous"
"14" 1 33 1 1 "show" 1 1 0 "Dative" 16 "dispreferred" "Homogenous"
"15" 1 35 1 1 "spray" 0 1 0 "Locative" 38 "dispreferred" "Heterogenous"
"16" 1 36 1 1 "show" 1 1 0 "Dative" 15 "dispreferred" "Homogenous"
"17" 1 37 1 1 "spray" 1 1 1 "Locative" 42 "preferred" "Homogenous"
"18" 1 39 1 1 "read" 0 1 0 "Dative" 10 "dispreferred" "Heterogenous"
"19" 1 40 1 1 "spray" 1 1 1 "Locative" 40 "preferred" "Homogenous"
"20" 1 42 1 1 "give" 0 1 1 "Dative" 6 "preferred" "Heterogenous"
"21" 1 43 1 1 "spray" 1 1 0 "Locative" 41 "dispreferred" "Homogenous"
"22" 1 45 1 1 "throw" 0 1 0 "Dative" 20 "dispreferred" "Heterogenous"
"23" 1 46 1 1 "spray" 1 1 0 "Locative" 37 "dispreferred" "Homogenous"
"24" 1 48 1 1 "show" 0 1 1 "Dative" 18 "preferred" "Heterogenous"
"25" 2 49 2 1 "give" 1 1 1 "Dative" 1 "preferred" "Homogenous"
"26" 2 52 2 1 "give" 1 1 1 "Dative" 2 "preferred" "Homogenous"
"27" 2 55 2 1 "give" 1 1 0 "Dative" 3 "dispreferred" "Homogenous"
"28" 2 57 2 1 "spray" 0 0 0 "Locative" 39 "dispreferred" "Heterogenous"
"29" 2 58 2 1 "give" 1 1 0 "Dative" 4 "dispreferred" "Homogenous"
"30" 2 61 2 1 "give" 0 1 1 "Dative" 5 "preferred" "Heterogenous"
"31" 2 64 2 1 "read" 0 1 0 "Dative" 9 "dispreferred" "Heterogenous"
"32" 2 71 2 1 "put" 1 1 1 "Locative" 28 "preferred" "Homogenous"
"33" 2 77 2 1 "put" 0 1 1 "Locative" 30 "preferred" "Heterogenous"
"34" 2 78 2 1 "show" 1 1 0 "Dative" 14 "dispreferred" "Homogenous"
"35" 2 80 2 1 "sprinkle" 0 1 0 "Locative" 47 "dispreferred" "Heterogenous"
"36" 2 81 2 1 "show" 1 1 1 "Dative" 16 "preferred" "Homogenous"
"37" 2 83 2 1 "spray" 0 1 1 "Locative" 38 "preferred" "Heterogenous"
"38" 2 84 2 1 "show" 1 1 1 "Dative" 15 "preferred" "Homogenous"
"39" 2 85 2 1 "spray" 1 1 0 "Locative" 42 "dispreferred" "Homogenous"
"40" 2 87 2 1 "read" 0 1 1 "Dative" 10 "preferred" "Heterogenous"
"41" 2 90 2 1 "give" 0 1 0 "Dative" 6 "dispreferred" "Heterogenous"
"42" 2 91 2 1 "spray" 1 0 1 "Locative" 41 "preferred" "Homogenous"
"43" 2 93 2 1 "throw" 0 1 1 "Dative" 20 "preferred" "Heterogenous"
"44" 2 94 2 1 "spray" 1 1 1 "Locative" 37 "preferred" "Homogenous"
"45" 2 96 2 1 "show" 0 1 0 "Dative" 18 "dispreferred" "Heterogenous"
"46" 3 97 3 2 "read" 1 1 1 "Dative" 7 "preferred" "Homogenous"
"47" 3 100 3 2 "read" 1 1 1 "Dative" 8 "preferred" "Homogenous"
"48" 3 102 3 2 "put" 0 0 0 "Locative" 27 "dispreferred" "Heterogenous"
"49" 3 103 3 2 "read" 1 1 0 "Dative" 9 "dispreferred" "Homogenous"
"50" 3 108 3 2 "spray" 0 1 1 "Locative" 41 "preferred" "Heterogenous"
"51" 3 109 3 2 "read" 0 1 1 "Dative" 12 "preferred" "Heterogenous"
"52" 3 112 3 2 "give" 0 0 1 "Dative" 3 "preferred" "Heterogenous"
"53" 3 113 3 2 "rub" 1 1 1 "Locative" 32 "preferred" "Homogenous"
"54" 3 118 3 2 "show" 0 0 0 "Dative" 15 "dispreferred" "Heterogenous"
"55" 3 123 3 2 "throw" 1 1 1 "Dative" 24 "preferred" "Homogenous"
"56" 3 125 3 2 "rub" 0 1 1 "Locative" 35 "preferred" "Heterogenous"
"57" 3 126 3 2 "throw" 1 1 1 "Dative" 19 "preferred" "Homogenous"
"58" 3 128 3 2 "spray" 0 1 0 "Locative" 37 "dispreferred" "Heterogenous"
"59" 3 129 3 2 "throw" 1 1 0 "Dative" 20 "dispreferred" "Homogenous"
"60" 3 131 3 2 "sprinkle" 0 1 1 "Locative" 46 "preferred" "Heterogenous"
"61" 3 132 3 2 "throw" 1 1 0 "Dative" 21 "dispreferred" "Homogenous"
"62" 3 133 3 2 "sprinkle" 1 0 0 "Locative" 43 "dispreferred" "Homogenous"
"63" 3 135 3 2 "give" 0 0 1 "Dative" 4 "preferred" "Heterogenous"
