"Subject" "List" "CardSet" "Homogeneity" "PrimeType" "TargBinary" "Item"
"1" 1 1 "A" "homogenous" "preferred" 1 20
"2" 1 1 "A" "heterogenous" "preferred" 1 7
"4" 1 1 "A" "heterogenous" "dispreferred" 0 29
"6" 1 1 "A" "homogenous" "dispreferred" 1 13
"7" 1 1 "B" "heterogenous" "dispreferred" 0 27
"8" 1 1 "B" "heterogenous" "preferred" 0 26
"9" 1 1 "B" "homogenous" "dispreferred" 1 12
"10" 1 1 "B" "homogenous" "preferred" 1 11
"13" 1 1 "C" "heterogenous" "dispreferred" 1 32
"14" 1 1 "C" "homogenous" "preferred" 1 17
"17" 1 1 "C" "homogenous" "dispreferred" 0 28
"18" 1 1 "C" "heterogenous" "preferred" 0 30
"19" 1 1 "D" "heterogenous" "preferred" 1 22
"21" 1 1 "D" "homogenous" "dispreferred" 0 6
"23" 1 1 "D" "heterogenous" "dispreferred" 0 24
"24" 1 1 "D" "homogenous" "preferred" 0 3
"26" 1 1 "E" "heterogenous" "preferred" 0 1
"27" 1 1 "E" "homogenous" "preferred" 0 15
"29" 1 1 "E" "homogenous" "dispreferred" 0 5
"30" 1 1 "E" "heterogenous" "dispreferred" 0 21
"31" 1 1 "F" "homogenous" "preferred" 1 9
"32" 1 1 "F" "heterogenous" "dispreferred" 0 14
"34" 1 1 "F" "heterogenous" "preferred" 1 19
"36" 1 1 "F" "homogenous" "dispreferred" 0 8
"38" 1 1 "G" "homogenous" "dispreferred" 0 31
"39" 1 1 "G" "homogenous" "preferred" 0 10
"41" 1 1 "G" "heterogenous" "dispreferred" 0 25
"42" 1 1 "G" "heterogenous" "preferred" 0 16
"43" 1 1 "H" "heterogenous" "preferred" 0 18
"46" 1 1 "H" "heterogenous" "dispreferred" 0 2
"47" 1 1 "H" "homogenous" "preferred" 1 4
"48" 1 1 "H" "homogenous" "dispreferred" 0 23
"49" 2 2 "A" "homogenous" "preferred" 1 27
"50" 2 2 "A" "heterogenous" "dispreferred" 1 9
"52" 2 2 "A" "heterogenous" "preferred" 1 11
"54" 2 2 "A" "homogenous" "dispreferred" 1 22
"55" 2 2 "B" "heterogenous" "preferred" 0 13
"56" 2 2 "B" "heterogenous" "dispreferred" 0 28
"57" 2 2 "B" "homogenous" "preferred" 0 21
"58" 2 2 "B" "homogenous" "dispreferred" 0 29
"61" 2 2 "C" "heterogenous" "preferred" 1 4
"62" 2 2 "C" "homogenous" "dispreferred" 0 18
"65" 2 2 "C" "homogenous" "preferred" 0 26
"66" 2 2 "C" "heterogenous" "dispreferred" 1 3
"67" 2 2 "D" "heterogenous" "dispreferred" 0 20
"69" 2 2 "D" "homogenous" "preferred" 1 16
"71" 2 2 "D" "heterogenous" "preferred" 0 5
"72" 2 2 "D" "homogenous" "dispreferred" 1 30
"74" 2 2 "E" "heterogenous" "dispreferred" 0 8
"75" 2 2 "E" "homogenous" "dispreferred" 1 19
"77" 2 2 "E" "homogenous" "preferred" 0 24
"78" 2 2 "E" "heterogenous" "preferred" 1 12
"79" 2 2 "F" "homogenous" "dispreferred" 0 7
"80" 2 2 "F" "heterogenous" "preferred" 0 10
"82" 2 2 "F" "heterogenous" "dispreferred" 0 15
"84" 2 2 "F" "homogenous" "preferred" 0 1
"86" 2 2 "G" "homogenous" "preferred" 0 2
"87" 2 2 "G" "homogenous" "dispreferred" 0 14
"89" 2 2 "G" "heterogenous" "preferred" 1 23
"90" 2 2 "G" "heterogenous" "dispreferred" 0 6
"91" 2 2 "H" "heterogenous" "dispreferred" 0 17
"94" 2 2 "H" "heterogenous" "preferred" 0 31
"95" 2 2 "H" "homogenous" "dispreferred" 0 32
"96" 2 2 "H" "homogenous" "preferred" 1 25
"97" 3 3 "A" "homogenous" "dispreferred" 1 20
"98" 3 3 "A" "heterogenous" "dispreferred" 0 7
"100" 3 3 "A" "heterogenous" "preferred" 1 29
"102" 3 3 "A" "homogenous" "preferred" 1 13
"103" 3 3 "B" "heterogenous" "preferred" 0 27
"104" 3 3 "B" "heterogenous" "dispreferred" 0 26
"105" 3 3 "B" "homogenous" "preferred" 1 12
"106" 3 3 "B" "homogenous" "dispreferred" 0 11
"109" 3 3 "C" "heterogenous" "preferred" 0 32
