"","subject","trial","isi","lexicality","prime","target","accuracy","RT","rel"
"3",11,783,1050,1,"EMPATHY","slow",0,0,"un"
"10",13,825,1050,1,"NIGHTGOWN","confess",0,0,"un"
"11",14,599,50,1,"SWEATER","assume",0,0,"un"
"16",18,741,50,1,"BOSS","environment",0,0,"un"
"18",21,80,50,1,"WED","idiot",0,0,"un"
"24",30,337,1050,1,"LIVE","none",0,0,"un"
"33",43,638,1050,1,"NAIL","doe",0,0,"un"
"35",43,660,1050,1,"SOAK","doctor",0,0,"un"
"36",43,664,1050,1,"EAGER","tissue",0,0,"un"
"39",43,722,1050,1,"SUPPORT","chip",0,0,"un"
"41",43,764,1050,1,"LIGHTHEADED","oil",0,0,"un"
"43",43,368,50,1,"QUART","rice",0,0,"un"
"45",43,400,50,1,"RESTAURANT","man",0,0,"un"
"46",43,436,1050,1,"MEXICO","control",0,0,"un"
"47",43,438,1050,1,"CURIOSITY","work",0,0,"un"
"48",43,452,1050,1,"PRETEND","higher",0,0,"un"
"764",13,270,50,1,"GRIP","sale",0,0,"un"
"765",13,614,1050,1,"AWARENESS","goal",0,0,"un"
"767",14,783,50,1,"ATTIRE","hip",0,0,"un"
"769",18,397,1050,1,"PUDDING","stiff",0,0,"un"
"772",25,257,50,1,"LIKE","britain",0,0,"un"
"773",29,487,1050,1,"CELERY","stay",0,0,"un"
"776",30,352,1050,1,"WOMEN","bank",0,0,"un"
"780",43,468,1050,1,"MOB","art",0,0,"un"
"781",43,498,1050,1,"DISGRACE","jungle",0,0,"un"
"783",43,569,1050,1,"COPIER","whine",0,0,"un"
"784",43,702,1050,1,"FOGGY","wear",0,0,"un"
"785",43,708,1050,1,"TOSS","builder",0,0,"un"
"786",43,713,1050,1,"COUNTY","shower",0,0,"un"
"788",43,750,1050,1,"JEWISH","prison",0,0,"un"
"789",43,377,50,1,"NECKLACE","hammer",0,0,"un"
"792",43,434,1050,1,"WINNER","jacket",0,0,"un"
"793",43,442,1050,1,"ESCALATOR","for",0,0,"un"
"1541",8,349,1050,1,"THERAPY","massage",0,0,"rel"
